date;cost;
28.02.2016;2971.89;
29.02.2016;3011.6;
01.03.2016;3011.6;
02.03.2016;2952.29;
03.03.2016;2910.01;
04.03.2016;2947.77;
05.03.2016;2991.79;
06.03.2016;2979.018;
07.03.2016;2966.246;
08.03.2016;2953.474;
09.03.2016;2940.702;
10.03.2016;2927.93;
11.03.2016;2850.82;
12.03.2016;2853.2;
13.03.2016;2853.2;
14.03.2016;2834.16;
15.03.2016;2834.16;
16.03.2016;2797.73;
17.03.2016;2815.81;
18.03.2016;2798.51;
19.03.2016;2758.89;
20.03.2016;2758.89;
21.03.2016;2752.59;
22.03.2016;2752.59;
23.03.2016;2727.75;
24.03.2016;2679.67;
25.03.2016;2695.94;
26.03.2016;2686.47;
27.03.2016;2686.47;
28.03.2016;2660.8;
29.03.2016;2660.8;
30.03.2016;2688.99;
31.03.2016;2691.39;
01.04.2016;2691.21;
02.04.2016;2659.65;
03.04.2016;2659.65;
04.04.2016;2682.67;
05.04.2016;2682.67;
06.04.2016;2727.61;
07.04.2016;2700.35;
08.04.2016;2697.37;
09.04.2016;2678.82;
10.04.2016;2678.82;
11.04.2016;2691.71;
12.04.2016;2691.71;
13.04.2016;2685.95;
14.04.2016;2634.05;
15.04.2016;2651.61;
16.04.2016;2611.25;
17.04.2016;2611.25;
18.04.2016;2716.76;
19.04.2016;2716.76;
20.04.2016;2620.75;
21.04.2016;2649.12;
22.04.2016;2629.26;
23.04.2016;2651.47;
24.04.2016;2651.47;
25.04.2016;2636.71;
26.04.2016;2636.71;
27.04.2016;2637.64;
28.04.2016;2607.75;
29.04.2016;2630.62;
30.04.2016;2636.13;
01.05.2016;2636.13;
02.05.2016;2679.965;
03.05.2016;2679.965;
04.05.2016;2723.8;
05.05.2016;2723.8;
06.05.2016;2702.64;
07.05.2016;2724.56;
08.05.2016;2717.7375;
09.05.2016;2710.915;
10.05.2016;2704.0925;
11.05.2016;2697.27;
12.05.2016;2708.62;
13.05.2016;2648.89;
14.05.2016;2661.96;
15.05.2016;2661.96;
16.05.2016;2672.48;
17.05.2016;2672.48;
18.05.2016;2634.4;
19.05.2016;2658.54;
20.05.2016;2668.9;
21.05.2016;2681.48;
22.05.2016;2681.48;
23.05.2016;2695.39;
24.05.2016;2695.39;
25.05.2016;2678.76;
26.05.2016;2586.24;
27.05.2016;2571.58;
28.05.2016;2593.05;
29.05.2016;2593.05;
30.05.2016;2584.04;
31.05.2016;2584.04;
01.06.2016;2568.47;
02.06.2016;2604.89;
03.06.2016;2608.5;
04.06.2016;2602.89;
05.06.2016;2602.89;
06.06.2016;2623.98;
07.06.2016;2623.98;
08.06.2016;2601.98;
09.06.2016;2604.36;
10.06.2016;2578.73;
11.06.2016;2635.03;
12.06.2016;2655.2925;
13.06.2016;2675.555;
14.06.2016;2695.8175;
15.06.2016;2716.08;
16.06.2016;2716.86;
17.06.2016;2767.58;
18.06.2016;2702.51;
19.06.2016;2702.51;
20.06.2016;2646.7;
21.06.2016;2646.7;
22.06.2016;2642.61;
23.06.2016;2591.38;
24.06.2016;2617.54;
25.06.2016;2768.01;
26.06.2016;2768.01;
27.06.2016;2770.65;
28.06.2016;2770.65;
29.06.2016;2733.78;
30.06.2016;2722.37;
01.07.2016;2717.35;
02.07.2016;2740.98;
03.07.2016;2740.98;
04.07.2016;2761.56;
05.07.2016;2761.56;
06.07.2016;2778.59;
07.07.2016;2846.74;
08.07.2016;2815.21;
09.07.2016;2801.22;
10.07.2016;2801.22;
11.07.2016;2803.64;
12.07.2016;2803.64;
13.07.2016;2779.46;
14.07.2016;2751.43;
15.07.2016;2709.81;
16.07.2016;2702.18;
17.07.2016;2702.18;
18.07.2016;2691.03;
19.07.2016;2691.03;
20.07.2016;2697.9;
21.07.2016;2702.82;
22.07.2016;2709.04;
23.07.2016;2749.35;
24.07.2016;2749.35;
25.07.2016;2744.63;
26.07.2016;2744.63;
